iter	Passed	Remaining
0	0	513
1	0	729
2	1	815
3	2	752
4	2	689
5	2	633
6	3	664
7	3	662
8	4	714
9	4	715
10	5	781
11	5	737
12	6	791
13	7	759
14	7	734
15	8	760
16	8	775
17	9	794
18	10	825
19	11	819
20	11	812
21	12	813
22	12	834
23	13	850
24	14	853
25	15	855
26	16	875
27	16	872
28	17	881
29	17	880
30	18	877
31	19	889
32	20	901
33	20	897
34	21	897
35	21	890
36	22	884
37	23	885
38	23	898
39	24	889
40	24	877
41	25	881
42	25	880
43	26	880
44	27	878
45	27	872
46	28	869
47	28	871
48	29	860
49	29	849
50	29	845
51	30	843
52	30	839
53	31	831
54	31	822
55	32	825
56	32	823
57	32	819
58	33	811
59	33	803
60	33	794
61	33	784
62	33	774
63	34	771
64	35	774
65	35	778
66	35	769
67	36	763
68	36	755
69	36	747
70	36	739
71	36	732
72	37	724
73	37	717
74	37	710
75	37	703
76	37	697
77	37	692
78	38	687
79	38	682
80	38	677
81	38	671
82	39	667
83	39	662
84	39	663
85	40	665
86	40	662
87	40	657
88	41	652
89	41	647
90	41	642
91	41	638
92	41	633
93	42	628
94	42	633
95	43	628
96	43	624
97	43	621
98	43	618
99	43	615
100	44	613
101	44	610
102	44	606
103	45	604
104	45	601
105	45	598
106	45	595
107	45	592
108	46	596
109	47	595
110	47	594
111	47	592
112	48	589
113	48	587
114	48	586
115	49	586
116	49	590
117	50	589
118	50	587
119	50	586
120	51	583
121	51	582
122	51	579
123	51	576
124	52	572
125	52	570
126	52	568
127	52	566
128	53	564
129	53	563
130	53	561
131	53	559
132	54	557
133	54	555
134	54	552
135	54	550
136	55	548
137	55	546
138	56	551
139	56	548
140	56	546
141	56	543
142	57	541
143	57	538
144	57	536
145	57	534
146	57	532
147	58	530
148	58	528
149	58	526
150	58	524
151	58	522
152	59	521
153	59	519
154	59	517
155	59	515
156	60	515
157	60	514
158	60	513
159	61	514
160	61	514
161	62	514
162	62	513
163	62	511
164	62	509
165	63	507
166	63	508
167	64	508
168	65	512
169	65	511
170	65	511
171	66	509
172	66	508
173	66	507
174	66	505
175	66	503
176	67	502
177	67	500
178	67	499
179	67	497
180	68	496
181	68	495
182	68	493
183	68	492
184	69	490
185	69	489
186	69	488
187	69	487
188	70	485
189	70	486
190	71	487
191	71	489
192	72	490
193	72	488
194	72	486
195	72	485
196	73	483
197	73	481
198	73	479
199	73	478
200	73	476
201	73	474
202	74	473
203	74	472
204	74	471
205	75	471
206	75	471
207	75	470
208	76	472
209	77	475
210	77	473
211	77	472
212	78	474
213	79	477
214	79	476
215	79	475
216	80	474
217	80	474
218	80	473
219	81	471
220	81	470
221	81	469
222	81	469
223	82	468
224	82	466
225	82	465
226	82	463
227	82	462
228	82	460
229	83	459
230	83	457
231	83	456
232	83	454
233	83	453
234	84	452
235	84	451
236	84	450
237	84	448
238	84	447
239	85	446
240	85	445
241	85	444
242	85	443
243	86	442
244	86	441
245	86	441
246	86	440
247	86	439
248	87	438
249	87	437
250	87	436
251	87	434
252	87	433
253	88	432
254	88	432
255	88	432
256	89	431
257	89	431
258	90	431
259	90	431
260	90	431
261	91	430
262	91	430
263	91	428
264	92	428
265	92	428
266	92	428
267	93	429
268	94	430
269	94	430
270	94	430
271	95	429
272	95	428
273	95	428
274	95	427
275	96	426
276	96	425
277	96	424
278	96	423
279	97	422
280	97	422
281	97	421
282	97	420
283	97	419
284	98	418
285	98	417
286	98	416
287	98	415
288	98	414
289	99	413
290	99	412
291	99	411
292	99	410
293	99	410
294	100	409
295	100	409
296	100	408
297	101	407
298	101	406
299	101	406
300	101	405
301	102	404
302	102	403
303	102	402
304	102	401
305	102	400
306	102	400
307	103	399
308	103	398
309	103	397
310	103	397
311	104	398
312	105	398
313	105	398
314	105	398
315	106	397
316	106	397
317	106	397
318	107	398
319	108	398
320	108	398
321	109	399
322	109	400
323	110	400
324	110	400
325	111	400
326	111	399
327	111	399
328	112	399
329	112	398
330	112	397
331	112	396
332	112	395
333	112	394
334	113	393
335	113	392
336	113	391
337	113	390
338	114	391
339	114	390
340	115	392
341	115	391
342	115	391
343	116	390
344	116	390
345	116	389
346	117	388
347	117	388
348	117	387
349	117	386
350	117	385
351	118	384
352	118	383
353	118	383
354	118	382
355	118	381
356	119	381
357	119	381
358	119	381
359	120	380
360	120	380
361	120	379
362	121	381
363	122	381
364	122	381
365	123	382
366	124	382
367	124	382
368	124	382
369	125	381
370	125	380
371	125	380
372	125	379
373	125	378
374	125	377
375	126	376
376	126	375
377	126	375
378	126	374
379	126	373
380	126	372
381	126	371
382	127	370
383	127	370
384	127	369
385	127	368
386	127	367
387	128	366
388	128	366
389	128	365
390	128	365
391	128	364
392	129	363
393	129	363
394	129	362
