iter	Passed	Remaining
0	0	810
1	1	795
2	1	898
3	2	877
4	3	940
5	3	917
6	3	845
7	4	779
8	4	725
9	4	681
10	5	697
11	5	704
12	6	703
13	6	699
14	7	695
15	7	674
16	7	676
17	8	659
18	8	661
19	8	649
20	9	659
21	9	649
22	9	636
23	10	645
24	11	661
25	11	668
26	12	669
27	12	674
28	13	669
29	13	667
30	14	671
31	14	662
32	14	665
33	15	681
34	16	681
35	16	689
36	17	696
37	18	697
38	18	701
39	19	704
40	19	703
41	20	708
42	20	709
43	21	715
44	22	724
45	23	727
46	23	730
47	23	725
48	24	722
49	24	723
50	25	719
51	25	716
52	26	715
53	26	719
54	27	725
55	28	722
56	28	721
57	29	724
58	29	731
59	30	737
60	31	735
61	31	730
62	31	726
63	32	730
64	33	733
65	33	735
66	34	733
67	35	738
68	35	737
69	35	733
70	36	731
71	36	729
72	37	731
73	38	733
74	38	733
75	39	737
76	39	734
77	40	735
78	40	736
79	41	732
80	42	737
81	42	741
82	43	745
83	44	749
84	45	749
85	45	743
86	45	736
87	45	733
88	46	729
89	46	723
90	46	717
91	46	711
92	46	705
93	46	700
94	47	696
95	47	691
96	47	686
97	47	682
98	48	680
99	48	679
100	48	675
101	48	670
102	49	667
103	49	665
104	49	663
105	50	660
106	51	664
107	51	665
108	52	667
109	52	669
110	53	666
111	53	662
112	53	659
113	53	656
114	54	657
115	54	654
116	55	655
117	55	653
118	56	650
119	56	654
120	57	654
121	57	651
122	58	649
123	58	646
124	58	648
125	59	652
126	60	651
127	60	650
128	61	652
129	62	653
130	62	655
131	63	657
132	63	657
133	64	655
134	64	652
135	64	651
136	65	648
137	65	645
138	65	642
139	65	640
140	66	638
141	66	635
142	66	632
143	66	629
144	67	626
145	67	624
146	67	621
147	67	619
148	68	617
149	68	618
150	69	616
151	69	614
152	69	612
153	69	611
154	70	609
155	70	606
156	70	604
157	70	602
158	71	603
159	72	605
160	72	606
161	73	608
162	74	608
163	74	608
164	75	610
165	75	608
166	76	608
167	76	607
168	76	604
169	76	601
170	77	598
171	77	596
172	77	593
173	77	591
174	77	588
175	77	586
176	78	583
177	78	585
178	79	583
179	79	584
180	80	584
181	80	583
182	81	583
183	81	581
184	81	579
185	81	577
186	81	574
187	82	573
188	82	571
189	82	571
190	83	569
191	83	568
192	83	566
193	83	565
194	84	565
195	84	563
196	85	563
197	85	561
198	85	561
199	86	561
200	86	561
201	87	561
202	88	563
203	88	564
204	89	562
205	89	561
206	89	560
207	89	558
208	90	556
209	90	555
210	90	553
211	90	551
212	90	549
213	91	547
214	91	545
215	91	543
216	91	541
217	91	539
218	91	537
219	91	535
220	92	533
221	92	531
222	92	529
223	92	528
224	92	526
225	93	527
226	93	526
227	94	525
228	94	523
229	94	521
230	94	519
231	94	517
232	94	515
233	95	514
234	95	512
235	95	511
236	95	511
237	96	511
238	96	510
239	97	509
240	97	508
241	98	511
242	98	510
243	99	512
244	100	513
245	101	515
246	101	515
247	101	514
248	102	513
249	102	513
250	103	516
251	104	517
252	104	517
253	105	519
254	106	519
255	107	520
256	107	520
257	108	520
258	109	522
259	109	522
260	109	521
261	110	521
262	111	522
263	111	523
264	112	524
265	113	525
266	113	526
267	114	527
268	115	528
269	116	529
270	117	531
271	118	532
272	118	533
273	119	535
274	119	534
275	120	534
276	121	536
277	122	536
278	122	536
279	123	536
280	124	539
281	124	539
282	125	540
283	126	542
284	127	543
285	128	544
286	128	544
287	129	545
288	130	547
289	131	548
290	131	547
291	132	548
292	133	549
293	134	549
294	134	550
295	135	551
296	136	551
297	136	551
298	137	550
299	138	552
300	138	553
301	139	554
302	140	556
303	141	556
304	141	556
305	142	556
306	143	555
307	143	554
308	143	554
309	144	555
310	145	555
311	146	556
312	146	556
313	147	556
314	148	557
315	149	558
316	149	558
317	150	557
318	150	556
319	150	555
320	151	554
321	151	553
322	151	552
323	151	550
324	152	549
325	152	549
326	153	549
327	153	549
328	154	548
329	154	549
330	155	549
331	155	548
332	156	548
333	157	548
334	157	547
335	157	546
336	158	547
337	159	547
338	159	547
339	160	546
340	160	546
341	161	547
342	161	546
343	162	545
344	162	544
345	163	544
346	163	543
347	164	543
348	164	542
349	164	540
350	164	539
351	165	538
352	165	538
353	166	539
354	166	538
355	167	538
356	167	537
357	168	537
358	168	536
359	169	537
360	170	536
361	170	536
362	171	536
363	172	537
364	172	537
365	173	536
366	173	536
367	173	535
368	174	534
369	175	534
370	175	534
371	175	533
372	176	533
373	176	532
374	177	531
375	177	530
376	177	529
377	178	528
378	178	528
379	178	527
380	179	526
381	179	526
382	180	525
383	180	524
384	181	524
385	181	523
386	182	523
387	182	523
388	183	523
389	183	523
390	184	522
391	184	521
392	185	521
393	185	520
394	185	520
395	186	520
396	187	520
397	187	519
398	188	519
399	188	519
400	189	518
401	189	518
402	190	518
403	190	516
404	191	517
405	192	517
406	192	517
407	193	517
408	193	517
409	194	516
410	195	516
411	195	516
412	195	515
413	196	515
414	196	514
415	197	513
416	197	512
417	198	513
418	198	512
419	198	511
420	199	510
421	199	510
422	200	510
423	201	510
424	201	509
425	202	509
426	202	509
427	203	508
428	203	508
429	204	507
430	204	507
431	204	506
432	205	506
433	206	506
434	206	506
435	207	506
436	207	505
437	208	505
438	209	505
439	209	505
440	209	504
441	210	503
442	210	501
443	210	501
444	210	499
445	211	498
446	211	497
447	211	496
448	211	495
449	212	495
450	212	494
451	212	493
452	213	492
453	213	491
454	213	490
455	213	489
456	213	488
457	214	487
458	214	485
459	214	485
460	214	484
461	215	483
462	215	482
463	215	481
464	215	480
465	216	479
466	216	478
467	216	477
468	216	476
469	216	475
470	217	475
471	217	474
472	217	473
473	218	472
474	218	472
475	219	471
476	219	470
477	219	469
478	220	469
479	220	468
480	220	467
481	221	466
482	221	466
483	221	465
484	222	465
485	222	465
486	223	464
487	223	463
488	223	462
489	223	461
490	223	460
491	224	458
492	224	457
493	224	457
494	224	456
495	224	455
496	225	454
497	225	453
498	225	452
499	225	451
500	225	450
501	226	449
502	226	448
503	226	447
504	226	446
505	226	445
506	227	444
507	227	443
508	227	443
509	227	442
510	228	441
511	228	441
512	229	442
513	230	442
514	231	442
515	231	441
516	231	441
517	232	440
518	232	439
519	232	438
520	232	437
521	232	436
522	233	435
523	233	434
524	233	433
525	233	432
526	233	431
527	234	431
528	235	431
529	235	431
530	236	432
531	237	432
532	237	431
533	238	430
534	238	430
535	239	430
536	239	430
537	240	429
538	240	429
539	241	428
540	241	428
541	241	427
542	242	426
543	242	425
544	242	425
545	243	426
546	244	425
547	244	424
548	244	423
549	244	422
550	245	421
551	245	421
552	245	420
553	245	419
554	245	418
555	246	417
556	246	416
557	246	416
558	246	415
559	246	414
560	247	413
561	247	413
562	247	412
563	248	411
564	248	410
565	248	410
566	248	409
567	249	408
568	249	408
569	250	408
570	251	409
571	252	409
572	252	409
573	253	408
574	254	408
575	254	408
576	255	408
577	255	407
578	255	406
579	255	406
580	256	405
581	256	404
582	256	403
583	256	403
584	257	402
585	257	401
586	257	400
587	258	400
588	258	399
589	258	398
590	258	397
591	258	397
592	259	396
593	259	395
594	259	394
595	259	393
596	259	392
597	259	392
598	260	391
599	260	390
600	260	389
601	260	388
602	260	387
603	260	386
604	260	386
605	261	385
606	261	384
607	261	383
608	261	382
609	261	382
610	261	381
611	262	380
612	262	379
613	262	378
614	262	377
615	262	377
616	263	376
617	263	375
618	263	375
619	264	375
620	265	375
621	265	375
622	266	374
623	266	374
624	267	374
625	267	374
626	268	373
627	268	372
628	268	372
629	268	371
630	269	370
631	269	369
632	269	369
633	269	368
634	270	367
635	270	367
636	270	366
637	270	365
638	270	365
639	271	364
640	271	363
641	271	363
642	271	362
643	272	361
644	272	360
645	272	360
646	272	359
647	273	359
648	273	358
649	273	357
650	273	356
651	273	356
652	273	355
653	274	354
654	274	354
655	274	353
656	275	352
657	275	352
658	276	352
659	276	351
660	276	351
661	276	350
662	277	349
663	277	349
664	278	349
665	278	348
666	279	348
667	279	348
668	280	348
669	281	348
670	281	347
671	281	347
672	282	346
673	282	345
674	282	345
675	282	344
676	282	343
677	283	343
678	283	342
679	283	341
680	283	341
681	283	340
682	284	339
683	284	339
