iter	Passed	Remaining
0	1	1520
1	1	1168
2	2	1101
3	2	986
4	3	907
5	3	853
6	3	831
7	4	799
8	4	784
9	5	778
10	5	761
11	6	744
12	6	732
13	6	731
14	7	728
15	7	718
16	8	710
17	8	706
18	9	705
19	9	709
20	10	716
21	10	719
22	11	714
23	11	709
24	11	707
25	12	709
26	13	711
27	13	711
28	13	708
29	14	710
30	15	713
31	15	722
32	16	711
33	16	699
34	16	687
35	16	676
36	16	666
37	17	656
38	17	648
39	17	640
40	17	631
41	17	623
42	18	616
43	18	609
44	18	603
45	18	596
46	19	590
47	19	583
48	19	577
49	19	571
50	19	566
51	20	560
52	20	555
53	20	550
54	20	545
55	21	541
56	21	537
57	21	533
58	21	529
59	21	525
60	22	520
61	22	517
62	22	513
63	22	510
64	23	507
65	23	504
66	23	501
67	23	498
68	23	496
69	24	493
70	24	490
71	24	487
72	24	484
73	25	482
74	25	481
75	25	479
76	25	476
77	25	473
78	26	471
79	26	469
80	26	466
81	26	464
82	27	462
83	27	459
84	27	457
85	27	457
86	27	454
87	28	452
88	28	450
89	28	448
90	28	447
91	29	446
92	29	443
93	29	441
94	29	439
95	29	438
96	30	436
97	30	435
98	30	434
99	30	432
100	31	430
101	31	429
102	31	428
103	31	428
104	32	426
105	32	425
106	32	424
107	32	422
108	33	421
109	33	420
110	33	420
111	34	422
112	34	424
113	34	424
114	35	423
115	35	424
116	35	424
117	36	424
118	36	426
119	37	431
120	37	431
121	38	431
122	38	431
123	38	431
124	39	431
125	39	432
126	39	432
127	40	430
128	40	429
129	40	428
130	40	427
131	41	425
132	41	425
133	41	423
134	41	422
135	42	421
136	42	420
137	42	419
138	42	417
139	42	416
140	43	415
141	43	414
142	43	413
143	43	411
144	43	410
145	44	409
146	44	407
147	44	406
148	44	406
149	45	406
150	45	405
151	45	404
152	45	403
153	45	401
154	46	400
155	46	399
156	46	398
157	46	397
158	47	396
159	47	396
160	47	396
161	47	395
162	48	395
163	48	394
164	48	393
165	48	392
166	49	391
167	49	390
168	49	389
169	49	388
170	49	387
171	50	386
172	50	385
173	50	385
174	50	384
175	50	383
176	51	382
177	51	381
178	51	380
179	51	379
180	52	379
181	52	378
182	52	377
183	52	377
184	53	377
185	53	376
186	53	375
187	53	374
188	53	373
189	54	373
190	54	372
191	54	371
192	54	370
193	54	369
194	55	368
195	55	367
196	55	367
197	55	366
198	55	365
199	56	364
200	56	364
201	56	363
202	56	362
203	57	362
204	57	361
205	57	361
206	57	360
207	57	359
208	58	358
209	58	358
210	58	357
211	58	356
212	58	355
213	59	355
214	59	354
215	59	353
216	59	353
217	59	352
218	60	351
219	60	351
220	60	350
221	60	350
222	61	349
223	61	349
224	61	348
225	61	348
226	61	347
227	62	346
228	62	346
229	62	345
230	62	344
231	62	344
232	63	343
233	63	342
234	63	342
235	63	341
236	63	340
237	64	340
238	64	339
239	64	339
240	64	338
241	65	338
242	65	337
243	65	337
244	65	336
245	65	336
246	66	335
247	66	334
248	66	334
249	66	333
250	66	333
251	67	332
252	67	331
253	67	331
254	67	330
255	67	330
256	68	329
257	68	328
258	68	328
259	68	327
260	69	327
261	69	327
262	69	326
263	69	326
264	69	325
265	70	325
266	70	324
267	70	324
268	70	323
269	70	322
270	71	322
271	71	321
272	71	321
273	71	320
274	71	320
275	72	319
276	72	318
277	72	318
278	72	317
279	72	317
280	73	316
281	73	316
282	73	316
283	73	315
284	73	315
285	74	314
286	74	314
287	74	313
288	74	313
289	74	312
290	75	312
291	75	311
292	75	311
293	75	310
294	75	310
295	76	309
296	76	309
297	76	308
298	76	308
299	76	307
300	77	307
301	77	306
302	77	305
303	77	305
304	77	304
305	78	304
306	78	304
307	78	303
308	78	303
309	78	302
310	79	302
311	79	301
312	79	301
313	79	300
314	79	300
315	79	299
316	80	299
317	80	298
318	80	298
319	80	297
320	80	297
321	81	296
322	81	296
323	81	295
324	81	294
325	82	295
326	82	294
327	82	294
328	82	294
329	82	293
330	83	293
331	83	292
332	83	292
333	83	291
334	83	291
335	83	290
336	84	290
337	84	289
338	84	289
339	84	289
340	84	288
341	85	288
342	85	288
343	85	287
344	85	287
345	86	287
346	86	286
347	86	286
348	86	285
349	86	285
350	87	285
351	87	284
352	87	284
353	87	284
354	87	283
355	88	283
356	88	282
357	88	282
358	88	281
359	88	281
360	89	280
361	89	280
362	89	279
363	89	279
364	89	278
365	89	278
366	90	278
367	90	277
368	90	277
369	90	277
370	91	276
371	91	276
372	91	276
373	91	275
374	91	275
375	92	275
376	92	274
377	92	274
378	92	273
379	92	273
380	92	272
381	93	272
382	93	272
383	93	271
384	93	271
385	93	270
386	94	270
387	94	270
388	94	269
389	94	269
390	94	268
391	94	268
392	95	267
393	95	267
394	95	267
395	95	266
396	95	266
397	96	266
398	96	265
399	96	265
400	96	264
401	96	264
402	97	264
403	97	264
404	97	263
405	97	263
406	97	263
407	98	262
408	98	262
409	98	262
410	98	261
411	98	261
412	99	260
413	99	260
414	99	260
415	99	259
416	99	259
417	100	259
418	100	258
419	100	258
420	100	257
421	100	257
422	101	257
423	101	256
424	101	256
425	101	256
426	101	255
427	102	255
428	102	255
429	102	254
430	102	254
431	102	254
432	102	253
433	103	253
434	103	253
435	103	252
436	103	252
437	103	251
438	104	251
439	104	251
440	104	251
441	104	250
442	104	250
443	105	250
444	105	249
445	105	249
446	105	248
447	105	248
448	106	248
449	106	248
450	106	247
451	106	247
452	107	247
453	107	247
454	107	246
455	107	246
456	107	245
457	107	245
458	108	245
459	108	244
460	108	244
461	108	244
462	108	243
463	109	243
464	109	242
465	109	242
466	109	242
467	109	242
468	110	241
469	110	241
470	110	241
471	110	240
472	110	240
473	110	240
474	111	239
475	111	239
476	111	239
477	111	238
478	111	238
479	112	238
480	112	237
481	112	237
482	112	237
483	112	236
484	113	236
485	113	236
486	113	236
487	113	235
488	113	235
489	114	235
490	114	234
491	114	234
492	114	234
493	114	233
494	115	233
495	115	233
496	115	233
497	115	233
498	116	232
499	116	232
500	116	231
501	116	231
502	116	231
503	117	231
504	117	230
505	117	230
506	117	230
507	117	230
508	118	229
509	118	229
510	118	229
511	118	228
512	118	228
513	119	228
514	119	228
515	119	227
516	119	227
517	119	226
518	119	226
519	120	226
520	120	225
521	120	225
522	120	225
523	120	225
524	121	225
525	121	224
526	121	224
527	121	223
528	121	223
529	122	223
530	122	223
531	122	222
532	122	222
533	122	222
534	123	221
535	123	221
536	123	221
537	123	221
538	123	220
539	124	220
540	124	220
541	124	220
542	124	219
543	124	219
544	125	219
545	125	218
546	125	218
547	125	218
548	125	218
549	126	217
550	126	217
551	126	217
552	126	216
553	126	216
554	127	216
555	127	216
556	127	215
557	127	215
558	127	215
559	127	214
560	128	214
561	128	214
562	128	213
563	128	213
564	128	213
565	129	213
566	129	212
567	129	212
568	129	212
569	129	211
