Категория: Все категории

Неделя,таблетки от температуры: (город Санкт-Петербург)
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,28
2020-06-07,55
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,42
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,65
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,47
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,62
2020-12-06,100
2020-12-13,0
2020-12-20,0
2020-12-27,49
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,55
2021-02-28,34
2021-03-07,0
2021-03-14,34
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,32
2021-04-18,0
2021-04-25,0
2021-05-02,73
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,89
2021-06-06,91
2021-06-13,89
2021-06-20,0
2021-06-27,0
