Категория: Все категории

Неделя,ковид: (город Санкт-Петербург)
2020-05-10,19
2020-05-17,20
2020-05-24,20
2020-05-31,25
2020-06-07,27
2020-06-14,27
2020-06-21,17
2020-06-28,16
2020-07-05,13
2020-07-12,15
2020-07-19,14
2020-07-26,16
2020-08-02,19
2020-08-09,19
2020-08-16,18
2020-08-23,18
2020-08-30,16
2020-09-06,16
2020-09-13,15
2020-09-20,18
2020-09-27,24
2020-10-04,29
2020-10-11,34
2020-10-18,36
2020-10-25,41
2020-11-01,46
2020-11-08,41
2020-11-15,39
2020-11-22,39
2020-11-29,41
2020-12-06,42
2020-12-13,44
2020-12-20,44
2020-12-27,40
2021-01-03,43
2021-01-10,34
2021-01-17,30
2021-01-24,29
2021-01-31,25
2021-02-07,24
2021-02-14,21
2021-02-21,21
2021-02-28,22
2021-03-07,19
2021-03-14,18
2021-03-21,22
2021-03-28,19
2021-04-04,21
2021-04-11,21
2021-04-18,19
2021-04-25,19
2021-05-02,19
2021-05-09,20
2021-05-16,22
2021-05-23,25
2021-05-30,28
2021-06-06,38
2021-06-13,70
2021-06-20,92
2021-06-27,100
