Категория: Все категории

Неделя,спб ковид: (город Санкт-Петербург)
2020-05-10,17
2020-05-17,20
2020-05-24,21
2020-05-31,21
2020-06-07,19
2020-06-14,30
2020-06-21,16
2020-06-28,17
2020-07-05,13
2020-07-12,15
2020-07-19,15
2020-07-26,17
2020-08-02,17
2020-08-09,16
2020-08-16,19
2020-08-23,21
2020-08-30,20
2020-09-06,19
2020-09-13,17
2020-09-20,20
2020-09-27,25
2020-10-04,40
2020-10-11,31
2020-10-18,41
2020-10-25,47
2020-11-01,51
2020-11-08,43
2020-11-15,35
2020-11-22,39
2020-11-29,42
2020-12-06,39
2020-12-13,45
2020-12-20,42
2020-12-27,38
2021-01-03,45
2021-01-10,33
2021-01-17,34
2021-01-24,32
2021-01-31,25
2021-02-07,22
2021-02-14,19
2021-02-21,23
2021-02-28,19
2021-03-07,14
2021-03-14,18
2021-03-21,20
2021-03-28,18
2021-04-04,22
2021-04-11,18
2021-04-18,18
2021-04-25,21
2021-05-02,18
2021-05-09,20
2021-05-16,24
2021-05-23,22
2021-05-30,24
2021-06-06,37
2021-06-13,84
2021-06-20,97
2021-06-27,100
