Категория: Все категории

Неделя,тест на антитела: (город Санкт-Петербург)
2020-05-10,29
2020-05-17,29
2020-05-24,23
2020-05-31,23
2020-06-07,25
2020-06-14,22
2020-06-21,16
2020-06-28,9
2020-07-05,11
2020-07-12,6
2020-07-19,9
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,7
2020-08-23,4
2020-08-30,5
2020-09-06,7
2020-09-13,6
2020-09-20,3
2020-09-27,7
2020-10-04,9
2020-10-11,12
2020-10-18,8
2020-10-25,11
2020-11-01,12
2020-11-08,14
2020-11-15,10
2020-11-22,16
2020-11-29,14
2020-12-06,16
2020-12-13,17
2020-12-20,21
2020-12-27,13
2021-01-03,17
2021-01-10,16
2021-01-17,20
2021-01-24,15
2021-01-31,15
2021-02-07,12
2021-02-14,12
2021-02-21,10
2021-02-28,10
2021-03-07,15
2021-03-14,9
2021-03-21,14
2021-03-28,11
2021-04-04,13
2021-04-11,19
2021-04-18,17
2021-04-25,12
2021-05-02,7
2021-05-09,6
2021-05-16,14
2021-05-23,17
2021-05-30,13
2021-06-06,12
2021-06-13,44
2021-06-20,100
2021-06-27,82
