Категория: Все категории

Неделя,карантин: (город Санкт-Петербург)
2020-05-10,100
2020-05-17,45
2020-05-24,88
2020-05-31,62
2020-06-07,51
2020-06-14,49
2020-06-21,31
2020-06-28,25
2020-07-05,20
2020-07-12,17
2020-07-19,17
2020-07-26,16
2020-08-02,13
2020-08-09,14
2020-08-16,15
2020-08-23,13
2020-08-30,15
2020-09-06,18
2020-09-13,20
2020-09-20,22
2020-09-27,35
2020-10-04,32
2020-10-11,23
2020-10-18,14
2020-10-25,16
2020-11-01,18
2020-11-08,23
2020-11-15,12
2020-11-22,10
2020-11-29,11
2020-12-06,7
2020-12-13,7
2020-12-20,6
2020-12-27,8
2021-01-03,7
2021-01-10,6
2021-01-17,5
2021-01-24,5
2021-01-31,3
2021-02-07,5
2021-02-14,4
2021-02-21,2
2021-02-28,3
2021-03-07,4
2021-03-14,2
2021-03-21,4
2021-03-28,4
2021-04-04,4
2021-04-11,4
2021-04-18,2
2021-04-25,3
2021-05-02,2
2021-05-09,3
2021-05-16,2
2021-05-23,2
2021-05-30,3
2021-06-06,4
2021-06-13,9
2021-06-20,6
2021-06-27,6
