Категория: Все категории

Неделя,головная боль: (город Санкт-Петербург)
2020-05-10,77
2020-05-17,50
2020-05-24,57
2020-05-31,76
2020-06-07,53
2020-06-14,68
2020-06-21,72
2020-06-28,82
2020-07-05,19
2020-07-12,33
2020-07-19,53
2020-07-26,53
2020-08-02,19
2020-08-09,62
2020-08-16,62
2020-08-23,36
2020-08-30,51
2020-09-06,47
2020-09-13,41
2020-09-20,51
2020-09-27,49
2020-10-04,38
2020-10-11,52
2020-10-18,51
2020-10-25,76
2020-11-01,25
2020-11-08,53
2020-11-15,69
2020-11-22,79
2020-11-29,71
2020-12-06,59
2020-12-13,64
2020-12-20,73
2020-12-27,56
2021-01-03,81
2021-01-10,52
2021-01-17,54
2021-01-24,41
2021-01-31,34
2021-02-07,65
2021-02-14,100
2021-02-21,47
2021-02-28,63
2021-03-07,53
2021-03-14,47
2021-03-21,66
2021-03-28,71
2021-04-04,62
2021-04-11,0
2021-04-18,54
2021-04-25,31
2021-05-02,47
2021-05-09,41
2021-05-16,52
2021-05-23,19
2021-05-30,64
2021-06-06,79
2021-06-13,41
2021-06-20,35
2021-06-27,59
