Категория: Все категории

Неделя,локдаун: (город Санкт-Петербург)
2020-05-10,4
2020-05-17,0
2020-05-24,2
2020-05-31,0
2020-06-07,0
2020-06-14,5
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,4
2020-08-02,7
2020-08-09,0
2020-08-16,0
2020-08-23,2
2020-08-30,0
2020-09-06,0
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,8
2020-10-11,10
2020-10-18,22
2020-10-25,25
2020-11-01,36
2020-11-08,31
2020-11-15,32
2020-11-22,16
2020-11-29,25
2020-12-06,100
2020-12-13,47
2020-12-20,30
2020-12-27,18
2021-01-03,16
2021-01-10,11
2021-01-17,9
2021-01-24,7
2021-01-31,0
2021-02-07,4
2021-02-14,0
2021-02-21,14
2021-02-28,9
2021-03-07,3
2021-03-14,14
2021-03-21,16
2021-03-28,18
2021-04-04,19
2021-04-11,12
2021-04-18,24
2021-04-25,28
2021-05-02,8
2021-05-09,9
2021-05-16,6
2021-05-23,6
2021-05-30,2
2021-06-06,4
2021-06-13,24
2021-06-20,26
2021-06-27,28
