Категория: Все категории

Неделя,ковид смертность: (Россия)
2020-05-10,0
2020-05-17,62
2020-05-24,48
2020-05-31,20
2020-06-07,69
2020-06-14,42
2020-06-21,24
2020-06-28,20
2020-07-05,20
2020-07-12,58
2020-07-19,15
2020-07-26,0
2020-08-02,26
2020-08-09,23
2020-08-16,0
2020-08-23,29
2020-08-30,16
2020-09-06,0
2020-09-13,0
2020-09-20,21
2020-09-27,24
2020-10-04,24
2020-10-11,27
2020-10-18,49
2020-10-25,35
2020-11-01,19
2020-11-08,41
2020-11-15,37
2020-11-22,41
2020-11-29,39
2020-12-06,52
2020-12-13,40
2020-12-20,33
2020-12-27,54
2021-01-03,14
2021-01-10,45
2021-01-17,0
2021-01-24,38
2021-01-31,0
2021-02-07,36
2021-02-14,0
2021-02-21,21
2021-02-28,29
2021-03-07,18
2021-03-14,56
2021-03-21,0
2021-03-28,11
2021-04-04,0
2021-04-11,53
2021-04-18,22
2021-04-25,44
2021-05-02,0
2021-05-09,46
2021-05-16,52
2021-05-23,21
2021-05-30,0
2021-06-06,33
2021-06-13,52
2021-06-20,85
2021-06-27,100
