Категория: Все категории

Неделя,ковид симптомы: (город Санкт-Петербург)
2020-05-10,19
2020-05-17,18
2020-05-24,26
2020-05-31,71
2020-06-07,83
2020-06-14,58
2020-06-21,31
2020-06-28,33
2020-07-05,0
2020-07-12,11
2020-07-19,0
2020-07-26,13
2020-08-02,60
2020-08-09,62
2020-08-16,36
2020-08-23,35
2020-08-30,16
2020-09-06,18
2020-09-13,19
2020-09-20,11
2020-09-27,18
2020-10-04,10
2020-10-11,33
2020-10-18,21
2020-10-25,30
2020-11-01,48
2020-11-08,32
2020-11-15,21
2020-11-22,44
2020-11-29,31
2020-12-06,45
2020-12-13,39
2020-12-20,37
2020-12-27,35
2021-01-03,45
2021-01-10,10
2021-01-17,14
2021-01-24,23
2021-01-31,4
2021-02-07,6
2021-02-14,10
2021-02-21,0
2021-02-28,14
2021-03-07,11
2021-03-14,10
2021-03-21,13
2021-03-28,0
2021-04-04,0
2021-04-11,9
2021-04-18,6
2021-04-25,16
2021-05-02,9
2021-05-09,6
2021-05-16,8
2021-05-23,8
2021-05-30,13
2021-06-06,40
2021-06-13,88
2021-06-20,67
2021-06-27,100
