iter	Passed	Remaining
0	0	441
1	0	405
2	0	376
3	1	376
4	1	366
5	1	356
6	1	342
7	1	348
8	2	346
9	2	337
10	2	331
11	2	329
12	2	325
13	3	322
14	3	318
15	3	320
16	3	314
17	3	311
18	4	313
19	4	312
20	4	312
21	4	312
22	4	312
23	5	312
24	5	314
25	5	311
26	5	313
27	6	316
28	6	318
29	6	319
30	6	318
31	6	318
32	7	345
33	7	342
34	8	340
35	8	339
36	8	339
37	8	342
38	9	343
39	9	341
40	9	339
41	9	340
42	10	340
43	10	341
44	10	338
45	10	336
46	10	334
47	10	331
48	11	331
49	11	330
50	11	329
51	11	328
52	12	328
53	12	331
54	12	335
55	12	334
56	13	335
57	13	335
58	13	336
59	14	338
60	14	339
61	14	340
62	14	340
63	15	353
64	15	351
65	16	350
66	16	348
67	16	350
68	16	349
69	17	351
70	17	354
71	17	353
72	18	352
73	18	350
74	18	349
75	18	347
76	18	346
77	19	346
78	19	345
79	19	343
80	19	341
81	19	339
82	19	338
83	20	337
84	20	337
85	20	337
86	20	340
87	21	341
88	21	342
89	21	340
90	21	340
91	22	338
92	22	337
93	22	336
94	22	335
95	23	337
96	23	336
97	23	334
98	23	332
99	23	331
100	23	330
101	23	328
102	24	327
103	24	326
104	24	324
105	24	323
106	24	322
107	24	320
108	24	318
109	25	317
110	25	316
111	25	314
112	25	313
113	25	312
114	25	311
115	26	310
116	26	309
117	26	308
118	26	307
119	26	305
120	26	304
121	26	303
122	27	302
123	27	301
124	27	300
125	27	299
126	27	297
127	27	296
128	27	295
129	27	294
130	28	293
131	28	292
132	28	292
133	28	291
134	28	290
135	28	289
136	29	288
137	29	288
138	29	287
139	29	286
140	29	286
141	29	285
142	30	285
143	30	290
144	31	290
145	31	289
146	31	289
147	31	288
148	31	287
149	31	286
150	32	286
151	32	285
152	32	284
153	32	284
154	32	283
155	32	282
156	32	282
157	33	281
158	33	281
159	33	281
160	33	280
161	33	280
162	34	279
163	34	279
164	34	278
165	34	277
166	34	277
167	34	277
168	35	276
169	35	276
170	35	275
171	35	275
172	35	274
173	36	274
174	36	273
175	36	273
176	36	273
177	36	273
178	36	273
179	37	272
180	37	272
181	37	271
182	37	271
183	37	270
184	38	270
185	38	269
186	38	269
187	38	268
188	38	268
189	38	267
190	38	267
191	39	267
192	39	267
193	39	267
194	39	267
195	40	266
196	40	266
197	40	265
198	40	265
199	40	265
200	40	264
201	41	264
202	41	264
203	41	265
204	42	265
205	42	265
206	42	265
207	42	265
208	42	265
209	43	265
210	43	265
211	43	265
212	43	265
213	44	265
214	44	265
215	44	265
216	44	265
217	45	265
218	45	265
219	45	265
220	45	264
221	45	264
222	46	264
223	46	263
224	46	263
225	46	262
226	46	262
227	47	262
228	47	261
229	47	261
230	47	261
231	47	260
232	47	260
233	48	259
234	48	259
235	48	258
236	48	258
237	48	258
238	48	257
239	49	257
240	49	257
241	49	256
242	49	256
243	49	256
244	49	255
245	50	255
246	50	254
247	50	254
248	50	253
249	50	253
250	50	253
251	51	253
252	51	255
253	52	255
254	52	254
255	52	254
256	52	253
257	52	253
258	52	252
259	52	252
260	53	252
261	53	252
262	53	251
263	53	251
264	53	250
265	53	250
266	54	250
267	54	249
268	54	249
269	54	249
270	54	248
271	55	248
272	55	248
273	55	247
274	55	247
275	55	247
276	55	246
277	56	246
278	56	245
279	56	245
280	56	245
281	56	244
282	56	244
283	57	244
284	57	243
285	57	243
286	57	243
287	57	243
288	57	242
289	58	242
290	58	242
291	58	241
292	58	241
293	58	241
294	59	241
295	59	240
296	59	240
297	59	239
298	59	239
299	59	239
300	59	238
301	60	238
302	60	238
303	60	238
304	60	237
305	60	237
306	60	236
307	61	236
308	61	236
309	61	236
310	61	235
