,I,D,S,R
0,4197,42,5995513,248
1,4253,86,5995233,428
2,4298,134,5994955,613
3,4353,181,5994660,806
4,4427,217,5994368,988
5,4550,238,5994068,1144
6,4623,280,5993772,1325
7,4734,300,5993479,1487
8,4850,323,5993188,1639
9,4906,354,5992907,1833
10,4984,373,5992643,2000
11,5069,395,5992387,2149
12,5127,425,5992143,2305
13,5177,452,5991905,2466
14,5252,478,5991703,2567
15,5309,504,5991508,2679
16,5378,531,5991319,2772
17,5441,559,5991133,2867
18,5505,578,5990949,2968
19,5566,605,5990768,3061
20,5635,633,5990589,3143
21,5722,642,5990414,3222
22,5809,652,5990242,3297
23,5873,675,5990074,3378
24,5940,698,5989909,3453
25,5987,720,5989747,3546
26,6048,740,5989588,3624
27,6104,749,5989427,3720
28,6177,753,5989264,3806
29,6256,759,5989104,3881
30,6307,781,5988946,3966
31,6408,799,5988790,4003
32,6467,815,5988631,4087
33,6513,833,5988474,4180
34,6575,843,5988319,4263
35,6699,846,5988159,4296
36,6804,853,5988002,4341
37,6863,873,5987845,4419
38,6919,885,5987684,4512
39,6968,900,5987524,4608
40,7033,922,5987365,4680
41,7099,942,5987203,4756
42,7199,952,5987040,4809
43,7287,954,5986881,4878
44,7342,973,5986724,4961
45,7401,990,5986562,5047
46,7463,1005,5986402,5130
47,7537,1011,5986221,5231
48,7592,1029,5986038,5341
49,7699,1039,5985858,5404
50,7816,1039,5985676,5469
51,7891,1054,5985497,5558
52,7979,1072,5985316,5633
53,8081,1089,5985132,5698
54,8173,1098,5984945,5784
55,8252,1113,5984756,5879
56,8365,1118,5984570,5947
57,8457,1118,5984382,6043
58,8537,1137,5984197,6129
59,8599,1158,5984008,6235
60,8656,1180,5983817,6347
61,8728,1200,5983624,6448
62,8808,1219,5983429,6544
63,8915,1229,5983237,6619
64,9046,1229,5983041,6684
65,9113,1249,5982831,6807
66,9198,1271,5982613,6918
67,9285,1287,5982398,7030
68,9379,1304,5982182,7135
69,9454,1327,5981979,7240
70,9536,1347,5981773,7344
71,9635,1347,5981574,7444
72,9711,1373,5981368,7548
73,9788,1398,5981161,7653
74,9868,1422,5980950,7760
75,9951,1441,5980744,7864
76,10038,1459,5980532,7971
77,10129,1474,5980318,8079
78,10233,1474,5980109,8184
79,10313,1499,5979898,8290
80,10401,1514,5979690,8395
81,10484,1536,5979475,8505
82,10479,1555,5979251,8715
83,10568,1582,5979019,8831
84,10672,1591,5978792,8945
85,10790,1591,5978555,9064
86,10885,1621,5978304,9190
87,10997,1647,5978028,9328
